#	timestep	total	type0	type1	type2
144 1.121434 4.400275 0.508076 0.296025
145 1.125037 4.418567 0.508821 0.296371
146 1.128798 4.437359 0.509681 0.296700
147 1.132368 4.456045 0.510250 0.297162
148 1.135620 4.472933 0.510903 0.297176
149 1.138928 4.489785 0.511565 0.297523
150 1.142337 4.506220 0.512441 0.298036
151 1.145602 4.523607 0.512973 0.298113
152 1.149123 4.540636 0.513858 0.298671
153 1.151970 4.556758 0.514111 0.298615
154 1.155291 4.575632 0.514394 0.298539
155 1.159585 4.594644 0.515781 0.299745
156 1.162408 4.611969 0.515764 0.299421
157 1.165505 4.627403 0.516491 0.299663
158 1.169094 4.645282 0.517268 0.300210
159 1.171870 4.661162 0.517500 0.300055
160 1.175025 4.677177 0.518110 0.300531
161 1.178338 4.694323 0.518742 0.300737
162 1.182332 4.712614 0.519996 0.301396
163 1.184458 4.726823 0.519779 0.300807
164 1.188979 4.745924 0.521500 0.301952
165 1.191561 4.763197 0.521159 0.301533
166 1.194755 4.779619 0.521775 0.301814
167 1.198223 4.795219 0.522812 0.302869
168 1.200606 4.810841 0.522688 0.302041
169 1.203478 4.825559 0.523186 0.302569
170 1.206874 4.842787 0.523912 0.302810
171 1.209774 4.858754 0.524239 0.302935
172 1.213477 4.875326 0.525491 0.303573
173 1.216705 4.892108 0.526012 0.304073
174 1.219293 4.908186 0.526048 0.303379
175 1.223447 4.925723 0.527542 0.304795
176 1.226006 4.940805 0.527734 0.304295
177 1.229818 4.958815 0.528725 0.305192
178 1.233314 4.975477 0.529627 0.305902
179 1.235673 4.991123 0.529317 0.305647
180 1.237866 5.007336 0.528840 0.304497
181 1.242611 5.024602 0.531072 0.306779
182 1.244489 5.038700 0.530651 0.305634
183 1.247597 5.054051 0.531359 0.306096
184 1.251496 5.071680 0.532571 0.307012
185 1.254071 5.086801 0.532682 0.306893
186 1.256649 5.101258 0.532926 0.306932
187 1.260001 5.117216 0.533843 0.307419
188 1.262674 5.131825 0.534227 0.307312
189 1.265727 5.148105 0.534689 0.307497
190 1.268873 5.165114 0.535117 0.307657
191 1.272294 5.181792 0.535909 0.308334
192 1.275176 5.197231 0.536370 0.308344
193 1.278133 5.212946 0.536841 0.308485
194 1.281284 5.229283 0.537402 0.308811
195 1.284716 5.245990 0.538254 0.309292
196 1.287689 5.261492 0.538761 0.309600
197 1.289785 5.275874 0.538470 0.308954
198 1.293403 5.291175 0.539803 0.310031
199 1.296234 5.308766 0.539709 0.309802
200 1.299062 5.323598 0.540166 0.310107
201 1.302903 5.341208 0.541363 0.310754
202 1.305201 5.356816 0.541038 0.310240
203 1.308028 5.371865 0.541461 0.310459
204 1.311520 5.386644 0.542805 0.311254
205 1.314256 5.403926 0.542630 0.311090
206 1.317613 5.419272 0.543686 0.311666
207 1.320569 5.435960 0.543978 0.311545
208 1.324242 5.453051 0.545019 0.312325
209 1.326687 5.468104 0.544980 0.312096
210 1.330225 5.484310 0.545994 0.313066
211 1.332253 5.498670 0.545587 0.312499
212 1.335822 5.516685 0.546388 0.312691
213 1.338593 5.531927 0.546739 0.312672
214 1.341357 5.546644 0.547126 0.312996
215 1.344251 5.563887 0.547190 0.312857
216 1.347631 5.579598 0.548136 0.313647
217 1.350138 5.594932 0.548125 0.313396
218 1.353445 5.610076 0.549143 0.314017
219 1.355997 5.626676 0.548885 0.313767
220 1.360022 5.642330 0.550720 0.314919
221 1.363334 5.659560 0.551336 0.315101
222 1.365676 5.673991 0.551255 0.315045
223 1.368518 5.690480 0.551422 0.314938
224 1.371721 5.705829 0.552239 0.315541
225 1.374701 5.720022 0.553087 0.315837
226 1.377422 5.735339 0.553334 0.315858
227 1.380402 5.752064 0.553615 0.315890
228 1.383825 5.766974 0.554721 0.317089
229 1.385284 5.779067 0.554124 0.316142
230 1.389217 5.794195 0.555934 0.317371
231 1.391882 5.810306 0.555959 0.317149
232 1.394927 5.825160 0.556681 0.317680
233 1.396916 5.839502 0.556223 0.317100
234 1.400061 5.854559 0.557021 0.317723
235 1.402648 5.870154 0.557076 0.317427
236 1.405662 5.884256 0.557893 0.318143
237 1.407701 5.899157 0.557391 0.317486
238 1.411591 5.914383 0.559095 0.318781
239 1.413461 5.927840 0.558701 0.318118
240 1.417169 5.942972 0.560210 0.319203
241 1.419643 5.957284 0.560334 0.319237
242 1.422617 5.971816 0.561193 0.319115
243 1.425469 5.987039 0.561517 0.319706
244 1.428054 6.001658 0.561761 0.319620
245 1.431424 6.018242 0.562519 0.320225
246 1.433459 6.032399 0.562191 0.319589
247 1.437378 6.050193 0.563377 0.320571
248 1.440566 6.065873 0.564079 0.321206
249 1.442653 6.079224 0.564031 0.320567
250 1.446008 6.095246 0.564921 0.321122
251 1.448998 6.112807 0.565060 0.320940
252 1.451666 6.127016 0.565471 0.321095
253 1.455190 6.144622 0.566247 0.321526
254 1.458414 6.161408 0.566800 0.321877
255 1.461250 6.176072 0.567356 0.322002
256 1.463928 6.191216 0.567527 0.322240
257 1.467343 6.206748 0.568651 0.322708
258 1.470190 6.223751 0.568688 0.322637
259 1.472517 6.236791 0.568901 0.322709
260 1.476545 6.255506 0.570091 0.323398
261 1.478587 6.269223 0.569823 0.323009
262 1.481706 6.284700 0.570563 0.323283
263 1.485357 6.300800 0.571747 0.324352
264 1.487905 6.317296 0.571560 0.323891
265 1.490970 6.332985 0.572154 0.324220
266 1.494758 6.347872 0.573880 0.325154
267 1.497347 6.364270 0.573660 0.325168
268 1.499892 6.379132 0.573829 0.324905
269 1.503128 6.395185 0.574548 0.325388
270 1.506266 6.410689 0.575274 0.325809
271 1.508814 6.425977 0.575345 0.325525
272 1.512070 6.441434 0.576205 0.326164
273 1.514916 6.456219 0.576661 0.326629
274 1.517327 6.471764 0.576488 0.326244
275 1.520106 6.487341 0.576769 0.326220
276 1.523549 6.503599 0.577758 0.326663
277 1.527510 6.522080 0.578835 0.327643
278 1.529074 6.534918 0.578170 0.326844
279 1.533224 6.552924 0.579654 0.327805
280 1.535536 6.566593 0.579726 0.327723
281 1.539057 6.582507 0.580781 0.328712
282 1.541075 6.596862 0.580410 0.327947
283 1.544975 6.613112 0.581938 0.328989
284 1.547244 6.628389 0.581645 0.328497
285 1.550689 6.645580 0.582424 0.328857
286 1.554079 6.661403 0.583325 0.329771
287 1.556345 6.674774 0.583452 0.329485
288 1.559784 6.692389 0.584121 0.329832
289 1.562818 6.706702 0.584966 0.330342
290 1.565521 6.720651 0.585475 0.330573
291 1.568047 6.735292 0.585637 0.330438
292 1.571622 6.751396 0.586827 0.331029
293 1.573509 6.765280 0.586322 0.330488
294 1.577379 6.782241 0.587674 0.331340
295 1.580362 6.799968 0.587704 0.331385
296 1.583122 6.814652 0.588162 0.331434
297 1.585706 6.828823 0.588429 0.331696
298 1.588941 6.843969 0.589394 0.332102
299 1.591489 6.858240 0.589571 0.332412
300 1.594178 6.872939 0.589973 0.332241
301 1.598008 6.889393 0.591340 0.333296
302 1.600749 6.905256 0.591525 0.333136
