#	r	total	0-0	0-1	0-2	1-1	1-2	2-2
2.763816 0.359109 0.000138 1.604687 0.044208 0.000022 0.000190 0.000000
2.798581 0.309605 0.000202 1.370671 0.088319 0.000139 0.000168 0.000000
2.833346 0.271661 0.000656 1.180777 0.162781 0.000340 0.000238 0.000000
2.868111 0.244868 0.001345 1.029771 0.276378 0.001285 0.000304 0.000000
2.902876 0.229666 0.001438 0.911469 0.455383 0.003810 0.000383 0.000000
2.937641 0.221708 0.002137 0.806587 0.686232 0.009462 0.000351 0.000000
2.972406 0.225468 0.005128 0.727278 0.981291 0.020419 0.000529 0.000000
3.007171 0.239080 0.007107 0.661988 1.316722 0.041541 0.000721 0.000000
3.041936 0.261524 0.008882 0.608506 1.635682 0.078649 0.001025 0.000000
3.076701 0.294257 0.012355 0.564327 1.960925 0.133252 0.001551 0.000000
3.111466 0.340725 0.016216 0.530789 2.241811 0.218701 0.002592 0.000000
3.146231 0.401638 0.021714 0.501507 2.434750 0.345297 0.003865 0.000000
3.180996 0.484298 0.027750 0.479125 2.574694 0.523419 0.006222 0.000104
3.215761 0.595419 0.038157 0.463377 2.609930 0.774427 0.009864 0.000306
3.250526 0.739860 0.043927 0.453132 2.602940 1.102901 0.014142 0.000548
3.285291 0.921370 0.057255 0.442934 2.541432 1.519690 0.021141 0.001562
3.320056 1.133405 0.067342 0.444967 2.450921 2.001906 0.030062 0.002676
3.354821 1.350565 0.078919 0.436015 2.336353 2.501078 0.044644 0.006179
3.389586 1.561297 0.098355 0.436982 2.258594 2.974321 0.061787 0.011876
3.424351 1.749504 0.109173 0.435949 2.177093 3.394959 0.086810 0.017387
3.459116 1.889956 0.129135 0.444060 2.120300 3.697982 0.115035 0.028222
3.493881 1.978670 0.151954 0.442954 2.093268 3.880813 0.151847 0.042207
3.528646 2.015279 0.173177 0.452753 2.098936 3.933867 0.195384 0.052000
3.563411 1.997622 0.196782 0.460801 2.115228 3.860580 0.245827 0.064847
3.598176 1.937651 0.221359 0.471629 2.152169 3.684828 0.303235 0.073569
3.632941 1.842957 0.253187 0.482659 2.206935 3.427115 0.363510 0.076200
3.667706 1.729451 0.281111 0.492336 2.262733 3.126886 0.425710 0.079109
3.702471 1.609441 0.310483 0.507509 2.314634 2.811034 0.486693 0.069983
3.737236 1.497675 0.343697 0.523283 2.389210 2.507087 0.553694 0.064952
3.772001 1.398718 0.376899 0.534625 2.432108 2.241129 0.615266 0.055541
3.806766 1.312446 0.414980 0.553566 2.440984 2.008995 0.666581 0.046024
3.841531 1.241230 0.448521 0.566992 2.465045 1.810220 0.721622 0.033236
3.876296 1.183987 0.481604 0.590312 2.452425 1.644888 0.771233 0.026506
3.911061 1.137413 0.521952 0.608299 2.427239 1.510302 0.814730 0.021388
3.945826 1.094243 0.565140 0.623081 2.383862 1.389309 0.853839 0.015565
3.980591 1.058300 0.604054 0.643977 2.299996 1.286193 0.893945 0.012302
4.015356 1.026223 0.644743 0.667285 2.222765 1.191379 0.930306 0.010946
4.050121 0.999131 0.678589 0.690339 2.117310 1.112954 0.964297 0.011177
4.084886 0.975272 0.723949 0.712042 2.005366 1.039700 1.003670 0.014207
4.119651 0.951578 0.769457 0.736894 1.894929 0.966945 1.038858 0.020363
4.154416 0.932905 0.809745 0.765626 1.761152 0.907020 1.073058 0.030738
4.189181 0.916982 0.843552 0.787865 1.649354 0.849745 1.115346 0.047491
4.223946 0.902858 0.875343 0.819230 1.520283 0.797953 1.149237 0.071988
4.258711 0.890230 0.908167 0.848268 1.386607 0.752506 1.180029 0.100446
4.293476 0.882904 0.944018 0.875633 1.280278 0.712769 1.215872 0.143638
4.328241 0.874775 0.979365 0.901330 1.180716 0.676401 1.240179 0.196598
4.363006 0.870655 0.993930 0.933477 1.087791 0.643801 1.268202 0.259816
4.397771 0.865783 1.016032 0.962693 0.994894 0.612849 1.290159 0.333956
4.432536 0.863255 1.053167 0.990865 0.916511 0.589997 1.300254 0.422077
4.467301 0.863264 1.059357 1.016523 0.849175 0.569974 1.315521 0.543854
4.502066 0.862134 1.081762 1.043433 0.789235 0.552600 1.318377 0.640521
4.536831 0.861249 1.090765 1.068958 0.737743 0.536928 1.316966 0.760484
